Level,Status,Mode,Gender,Licence,Work,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,1,4,Unknown,8.411788,40.810186,104.002785
Other,Other,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,2,1,3,Unknown,84.08524,98.111997,585.4197
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,3,4,"$ 60,000 - 89,999",72.2401,309.44386000000003,807.4122000000001
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,3,"$ 30,000 - 59,999",22.60608,67.353645,145.773885
Grad,PT,Transit,Male,1,"Yes, I work 31-40 hours per week",Live alone,1,0,1,Unknown,5.704483,36.318000000000005,56.28550500000001
Grad,FT,Transit,Female,1,"Yes, I work 31-40 hours per week",Live with family/parents,3,0,5,Unknown,78.21358000000001,188.32218999999998,539.0955
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,0,0,2,"Less than $ 30,000",3.792585,18.826039,22.924049999999998
Grad,FT,Active,Female,1,"No, I don't work",Live with partner,0,2,2,"$ 120,000 - 149,999",6.632627,33.425859,41.7591
UG,FT,Transit,Male,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,3,0,4,Unknown,54.851530000000004,148.51899699999998,422.94945
Grad,FT,Transit,Female,0,"No, I don't work",Live alone,1,0,1,Unknown,19.45782,61.83610900000001,141.66516000000001
Grad,FT,Active,Female,1,"No, I don't work",Live with roommates,0,0,3,"Less than $ 30,000",11.34923,39.849031,65.27565
Grad,FT,Active,Female,0,"No, I don't work",Live alone,0,0,1,Unknown,5.704483,36.318000000000005,56.28550500000001
Grad,FT,Active,Male,1,"Yes, I work part time (<10 hours per week)",Live alone,0,0,1,"$ 30,000 - 59,999",3.792585,18.826039,22.924049999999998
UG,FT,Active,Female,0,"Yes, I work part time (<10 hours per week)",Live alone,0,0,1,"Less than $ 30,000",2.845125,24.990155,27.043575
UG,FT,Active,Male,1,"No, I don't work",Live with partner,0,0,2,"Less than $ 30,000",1.9141869999999999,23.859148,17.990325000000002
Grad,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,0,0,3,I donâ€™t know,7.6280600000000005,40.215032,56.57064
UG,FT,Active,Male,1,"No, I don't work",Live with roommates,0,1,1,"Less than $ 30,000",2.845125,24.990155,27.043575
Grad,PT,Active,Male,1,"Yes, I work 31-40 hours per week",Live with family/parents,0,1,4,"$ 150,000 - 179,999",12.56505,41.092905,74.442345
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,4,Unknown,13.25632,61.139554000000004,150.2139
UG,FT,Transit,Male,0,"Yes, I work part time (11-20 hours per week)",Live with roommates,0,0,4,Unknown,5.409577,28.036396999999997,39.210119999999996
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,3,"$ 30,000 - 59,999",37.417120000000004,88.860394,236.16075
Grad,FT,Transit,Female,1,"No, I don't work",Live with roommates,1,0,6,Unknown,32.70525,77.23247599999998,213.8331
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,4,"$ 90,000 - 119,999",49.41411,116.65255,473.74005
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,1,5,I donâ€™t know,57.8518,137.826053,410.91794999999996
Grad,PT,Auto,Male,1,"Yes, I work 31-40 hours per week",Live with partner,2,2,2,"$ 90,000 - 119,999",0.0,0.0,0.0
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,1,1,4,"$ 60,000 - 89,999",3.9527059999999996,25.654187,40.859745
Grad,FT,Transit,Male,0,"No, I don't work",Live with roommates,0,0,3,Unknown,19.9148,40.306127000000004,101.20375499999999
UG,FT,Active,Female,1,"No, I don't work",Live with partner,1,0,2,"Less than $ 30,000",5.848496,35.80122,44.581845
UG,FT,Active,Male,0,"No, I don't work",Live with roommates,0,0,2,"$ 120,000 - 149,999",1.710853,20.776487,15.946485
Grad,FT,Active,Female,1,"Yes, I work part time (<10 hours per week)",Live with partner,1,1,2,"$ 90,000 - 119,999",11.07215,46.064018,65.243415
UG,FT,Active,Female,0,"Yes, I work part time (<10 hours per week)",Live with roommates,0,0,2,Unknown,1.464106,25.325449,14.598600000000001
Grad,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,4,"$ 30,000 - 59,999",1.464106,25.325449,14.598600000000001
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,5,Unknown,30.71933,83.66450999999998,179.37675
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,3,I donâ€™t know,43.19952,89.58986499999997,307.44465
Grad,FT,Transit,Male,1,"No, I don't work",Live alone,0,0,1,Unknown,28.61972,65.781362,174.55365
UG,FT,Transit,Male,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,4,"$ 120,000 - 149,999",7.464469,48.093509000000005,68.508945
UG,PT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live alone,1,0,1,"Less than $ 30,000",10.911489999999999,42.701539000000004,73.300215
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,2,3,Unknown,32.04898,67.73028000000001,189.6813
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,3,0,3,Unknown,35.03658,86.366139,222.1536
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,2,4,"$ 150,000 - 179,999",32.43227,105.53583,276.34290000000004
UG,FT,Transit,Male,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,6,"$ 30,000 - 59,999",12.07348,54.730107999999994,91.7007
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,0,0,2,"Less than $ 30,000",4.372437000000001,25.162232,31.4544
UG,FT,Active,Male,0,"No, I don't work",Live alone,0,0,1,"Less than $ 30,000",0.0,0.0,0.0
UG,FT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,3,0,3,"$ 90,000 - 119,999",69.8619,148.41588000000004,523.02615
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,2,0,4,"$ 150,000 - 179,999",26.741290000000003,79.65141700000002,184.09215
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,2,1,3,"$ 150,000 - 179,999",36.32675,74.72130600000001,228.24825
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,2,0,4,I donâ€™t know,20.50572,53.92663,113.78224499999999
Grad,FT,Active,Male,0,"No, I don't work",Live with roommates,0,0,4,I donâ€™t know,0.0,0.0,0.0
Grad,FT,Transit,Female,1,"No, I don't work",Live alone,0,0,1,Unknown,15.891110000000001,45.144366,87.02386499999999
UG,FT,Transit,Female,1,"No, I don't work",Live with roommates,1,0,2,Unknown,29.070829999999997,57.75046700000001,176.15535
Grad,FT,Transit,Female,1,"No, I don't work",Live with family/parents,2,0,3,Unknown,25.43486,55.96229399999999,155.41545000000002
Grad,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,2,Unknown,2.595157,27.40234,23.805030000000002
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,1,5,Unknown,66.66022,152.68465,389.10945000000004
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,1,2,"Less than $ 30,000",28.890659999999997,98.71188,262.0101
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,2,1,4,"$ 30,000 - 59,999",19.19235,51.81050000000001,120.050385
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,6,Unknown,80.75463,94.987998,586.4883000000001
UG,FT,Auto,Female,0,"No, I don't work",Live with family/parents,2,0,4,Unknown,25.88474,109.56773700000001,231.97665000000003
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,1,0,5,Unknown,13.53559,50.490272999999995,88.17565499999999
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,2,Unknown,53.01465,154.760943,386.4927
Grad,PT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with partner,2,1,2,Unknown,0.0,0.0,0.0
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,5,"$ 60,000 - 89,999",80.75463,94.987998,586.4883000000001
UG,FT,Active,Male,1,"No, I don't work",Live with roommates,0,1,3,I donâ€™t know,0.0,0.0,0.0
Grad,PT,Transit,Female,1,"Yes, I work 31-40 hours per week",Live with partner,1,0,2,"$ 60,000 - 89,999",76.7355,209.84826,472.38284999999996
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,2,0,5,"$ 180,000 - 209,999",66.11488,119.7874,473.29560000000004
Other,Other,Auto,Female,1,"Yes, I work 31-40 hours per week",Live with partner,2,2,2,"$ 180,000 - 209,999",49.68177,141.9251,343.59794999999997
UG,FT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with roommates,1,0,2,Unknown,17.063570000000002,50.644287,91.32579
Grad,FT,Active,Male,1,"No, I don't work",Live with roommates,0,0,2,"Less than $ 30,000",4.108721,21.501513000000006,41.46901499999999
Grad,FT,Transit,Male,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,1,1,4,"Less than $ 30,000",53.51793000000001,144.04261,599.9775
UG,FT,Transit,Female,0,"No, I don't work",Live with roommates,0,0,2,I donâ€™t know,1.710853,20.776487,15.946485
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,2,3,Unknown,25.80503,88.602216,336.14279999999997
Grad,FT,Active,Male,1,"Yes, I work part time (<10 hours per week)",Live with partner,1,0,2,"$ 60,000 - 89,999",12.56505,41.092905,74.442345
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,0,1,3,I donâ€™t know,25.3056,57.812435,154.12965
UG,FT,Transit,Male,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,1,0,3,I donâ€™t know,10.83578,48.352633000000004,138.72144
Grad,FT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live alone,0,0,1,"Less than $ 30,000",99.30208,120.970178,857.72925
UG,FT,Active,Male,0,"No, I don't work",Live alone,0,0,1,Unknown,2.424763,17.100996000000002,26.824515
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,6,Unknown,4.458424,41.395728999999996,47.800875
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,3,0,4,Unknown,32.172740000000005,110.024981,272.87475
UG,FT,Active,Female,1,"No, I don't work",Live with roommates,0,0,3,Unknown,2.141326,19.940688,19.27866
Grad,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live alone,0,0,1,Unknown,6.104295,41.54489,39.625710000000005
Grad,FT,Active,Female,1,"Yes, I work 31-40 hours per week",Live alone,0,0,1,"Less than $ 30,000",3.792585,18.826039,22.924049999999998
Grad,FT,Active,Male,1,"No, I don't work",Live with family/parents,0,2,2,"Less than $ 30,000",2.168042,23.855995999999998,19.46616
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,5,I donâ€™t know,52.42174,161.71935,372.28455
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,1,0,3,Unknown,92.7372,114.95061000000001,804.24165
Grad,FT,Auto,Female,1,"Yes, I work part time (<10 hours per week)",Live with partner,2,0,2,"$ 60,000 - 89,999",0.0,0.0,0.0
UG,PT,Active,Male,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,0,0,3,Unknown,9.51093,33.826613,60.55161000000001
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,1,1,3,Unknown,44.276920000000004,106.197891,311.71725
Grad,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with partner,0,0,2,"$ 120,000 - 149,999",15.6506,39.913033,81.81193499999999
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,1,0,3,"Less than $ 30,000",22.57604,89.180144,201.09855
Grad,PT,Transit,Male,1,"Yes, I work 31-40 hours per week",Live with partner,1,0,2,Unknown,45.99018,85.33365,314.67884999999995
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,1,4,Unknown,6.804342999999999,40.848542,88.014375
UG,FT,Active,Male,1,"No, I don't work",Live with partner,0,0,2,"Less than $ 30,000",2.014925,20.126511999999998,15.20709
UG,FT,Auto,Male,1,"No, I don't work",Live with family/parents,2,0,5,"$ 90,000 - 119,999",37.965759999999996,83.66392499999998,271.24275
Grad,FT,Active,Female,0,"No, I don't work",Live alone,0,0,1,Unknown,2.168042,23.855995999999998,19.46616
UG,FT,Transit,Male,1,"No, I don't work",Live with roommates,0,0,5,"Less than $ 30,000",7.717772999999999,37.877319,75.9915
UG,FT,Auto,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,3,1,3,Unknown,12.58549,56.867036,125.529495
UG,FT,Auto,Female,1,"No, I don't work",Live with family/parents,2,0,3,"Less than $ 30,000",15.599839999999999,72.015924,231.97245
UG,FT,Transit,Male,1,"No, I don't work",Live with roommates,0,0,2,I donâ€™t know,15.286620000000001,51.499579,91.90423500000001
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,4,Unknown,82.12061,122.65109,591.8598000000001
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,0,1,3,Unknown,35.36173,84.665019,217.99814999999998
UG,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,2,Unknown,2.845125,24.990155,27.043575
Grad,FT,Active,Female,1,"Yes, I work part time (<10 hours per week)",Live alone,0,0,1,Unknown,1.117177,20.195869,11.101709999999999
UG,FT,Transit,Female,1,"No, I don't work",Live with family/parents,2,1,3,Unknown,49.678020000000004,85.109091,298.2465
Grad,FT,Transit,Female,1,"Yes, I work part time (21-30 hours per week)",Live with family/parents,2,2,2,"$ 240,000 +",39.9832,100.459592,261.19469999999995
UG,FT,Active,Female,0,"No, I don't work",Live with roommates,0,0,3,"$ 90,000 - 119,999",2.168042,23.855995999999998,19.46616
UG,FT,Transit,Male,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,4,"$ 90,000 - 119,999",24.11572,91.22736,278.8584
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,5,Unknown,10.3305,42.667442,145.084905
Grad,FT,Active,Female,0,"No, I don't work",Live alone,0,0,1,Unknown,2.523888,24.493026999999998,28.469009999999997
UG,FT,Transit,Female,0,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,0,4,Unknown,62.871959999999994,229.1783,792.6587999999999
UG,FT,Transit,Male,0,"No, I don't work",Live with family/parents,1,1,6,"Less than $ 30,000",26.19032,71.614783,316.44419999999997
UG,FT,Transit,Female,1,"Yes, I work part time (<10 hours per week)",Live with family/parents,2,0,4,"$ 60,000 - 89,999",53.51793000000001,144.04261,599.9775
UG,FT,Transit,Female,0,"Yes, I work part time (<10 hours per week)",Live with family/parents,0,1,4,I donâ€™t know,45.85244,117.24273799999999,316.2645
UG,FT,Transit,Male,1,"No, I don't work",Live with family/parents,2,0,5,"Less than $ 30,000",66.44991,212.79339,516.1437
Grad,FT,Transit,Female,1,"No, I don't work",Live with family/parents,1,1,2,I donâ€™t know,35.04476,93.38803399999999,228.08745000000002
UG,FT,Active,Male,0,"No, I don't work",Live with roommates,1,1,1,Unknown,1.710853,20.776487,15.946485
UG,FT,Transit,Female,0,"No, I don't work",Live with family/parents,1,0,3,I donâ€™t know,28.00275,96.577332,250.38615
UG,FT,Transit,Female,1,"Yes, I work part time (11-20 hours per week)",Live with family/parents,2,1,3,Unknown,67.71508,124.64318,495.53444999999994
