sch_code__,School_Nam,GTA06,DAUID,Enrolment
8863,BOBCAYGEON PUBLIC SCHOOL,8705,35160194,373
2040,BOWMORE PUBLIC SCHOOL,257,35200677,858
4159,BOXWOOD PUBLIC SCHOOL,2448,35190700,401
1137,BRAEBURN JUNIOR ELEMENTARY SCHOOL,365,35201912,188
5104,ALOMA CRESCENT PUBLIC SCHOOL,3356,35210114,387
5416,BRANDON GATE PUBLIC SCHOOL,3629,35211105,436
8442,BRANT AVENUE PUBLIC ELEMENTARY SCHOOL,8001,35230068,230
57,BRUCE T LINDLEY ELEMENTARY SCHOOL,4089,35240348,335
89,CLAIREVILLE PUBLIC SCHOOL - BRAMPTON,3517,35211885,733
6105,BRANT HILLS PUBLIC SCHOOL,4089,35240378,261
8651,BRECHIN PUBLIC SCHOOL,8681,35431248,181
1245,BRIAN PUBLIC SCHOOL,482,35200193,435
1138,BRIARCREST JUNIOR SCHOOL,336,35201759,289
5417,BRIARWOOD PUBLIC SCHOOL,3673,35210304,518
A059,ECOLE ARBOUR VISTA PUBLIC SCHOOL,8001,35230382,429
S839,BRIDGEPORT PUBLIC SCHOOL,7001,35300097,383
1009,BRIDLEWOOD JUNIOR PUBLIC SCHOOL,586,35200254,229
S644,BRIER PARK ELEMENTARY,8901,35290015,317
5733,BRIGHTON PUBLIC SCHOOL,7237,35300909,528
S361,BRISTOL ROAD MIDDLE SCHOOL,3690,35211025,475
1010,BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL,601,35204267,412
5419,BRITANNIA PUBLIC SCHOOL,3694,35212086,690
1139,BROADACRES JUNIOR PUBLIC SCHOOL,333,35201631,327
1246,BROADLANDS PUBLIC SCHOOL,239,35202747,555
2043,BROCK JUNIOR PUBLIC SCHOOL,107,35200946,258
395,LOUGHEED MIDDLE SCHOOL,3380,35212148,756
6305,BROOKDALE PUBLIC SCHOOL,4007,35240239,276
1248,BROOKHAVEN PUBLIC SCHOOL,139,35204440,435
5420,BROOKMEDE PUBLIC SCHOOL,3662,35210457,389
1011,BROOKMILL BOULEVARD JUNIOR PUBLIC SCHOOL,592,35204283,249
E0292,BROOKSIDE PUBLIC SCHOOL,617,35204715,190
6011,BROOKVILLE PUBLIC SCHOOL,4138,35240632,402
2045,BROWN JUNIOR PUBLIC SCHOOL,188,35202803,583
2046,BRUCE JUNIOR PUBLIC SCHOOL,267,35203197,199
E0144,ALEXANDER MUIR PUBLIC SCHOOL,2607,35191299,625
1522,BUCHANAN PUBLIC SCHOOL,505,35203571,315
58,BUCHANAN PARK SCHOOL,5129,35250518,173
3111,COURTICE NORTH PUBLIC SCHOOL,1238,35180677,436
S772,BURFORD DISTRICT ELEMENTARY SCHOOL,8901,35290277,492
8237,BURLEIGH HILL PUBLIC SCHOOL,6042,35260479,112
6141,PAUL A FISHER PUBLIC SCHOOL,4089,35240341,194
S170,BURLINGTON CENTRAL ELEMENTARY SCHOOL,4059,35240444,244
5421,BURNHAMTHORPE PUBLIC SCHOOL,3674,35210974,689
1012,BURROWS HALL JUNIOR PUBLIC SCHOOL,578,35200043,237
60,BURNT ELM PUBLIC SCHOOL,3458,35211780,724
4602,BUTTONVILLE PUBLIC SCHOOL,2384,35190752,466
8814,BYNG PUBLIC SCHOOL,8555,35430862,272
E0161,DONALD COUSENS PUBLIC SCHOOL,2435,35191180,703
61,C D FARQUHARSON JUNIOR PUBLIC SCHOOL,580,35203613,340
3504,C E BROUGHTON PUBLIC SCHOOL,1135,35180605,320
8634,FRED C COOK ELEMENTARY SCHOOL,8559,35430763,424
7003,C H BRAY PUBLIC SCHOOL,5065,35250152,318
3005,CADARACKQUE PUBLIC SCHOOL,1085,35180356,683
8011,CAISTOR CENTRAL PUBLIC SCHOOL,6032,35260813,173
181,CALEDON CENTRAL PUBLIC SCHOOL,3152,35211616,433
5311,CALEDON EAST PUBLIC SCHOOL,3197,35211614,260
5633,CASTLEBRIDGE PUBLIC SCHOOL,3714,35210536,526
5001,ALTON PUBLIC SCHOOL,3105,35211624,108
4125,CENTRAL PARK PUBLIC SCHOOL - MARKHAM,2419,35190600,575
1252,CALICO PUBLIC SCHOOL,411,35201969,271
A043,OODENAWI PUBLIC SCHOOL,4183,35240720,600
86,CHRIS HADFIELD PUBLIC SCHOOL,4119,35240824,794
4127,COLEDALE PUBLIC SCHOOL,2386,35190575,528
77,CHARLES R BEAUDOIN PUBLIC SCHOOL,4080,35240654,811
1253,CAMERON PUBLIC SCHOOL,441,35202600,310
8702,CAMERON STREET PUBLIC SCHOOL,8555,35430878,495
5423,CAMILLA ROAD SENIOR PUBLIC SCHOOL,3653,35210803,666
A083,CHRIS HADFIELD PUBLIC SCHOOL,3671,35210845,582
3530,CAPTAIN MICHAEL VANDENBOS ELEMENTARY PUBLIC SCHOOL,1121,35180825,610
E0238,MILLEN WOODS PUBLIC SCHOOL,7001,35300926,387
1265,CLAUDE WATSON SCHOOL FOR THE ARTS,,35204754,299
C123,CLAUDE WATSON SCHOOL FOR THE ARTS,452,35204754,299
8241,CARLETON PUBLIC SCHOOL,6042,35260528,220
65,CAPTAIN R WILSON PUBLIC SCHOOL,4186,35240858,668
4162,CASTLEMORE ELEMENTARY PUBLIC SCHOOL,2417,35191193,752
E0029,LIONS OVAL PUBLIC SCHOOL,8681,35431183,459
1258,CASSANDRA PUBLIC SCHOOL,239,35202753,261
E0417,CASTLEMORE PUBLIC SCHOOL,3516,35212152,676
5432,CHAMPLAIN TRAIL PUBLIC SCHOOL,3606,35210267,582
5120,CHERRYTREE ELEMENTARY SCHOOL,3493,35211711,638
E0342,BERYL FORD PUBLIC SCHOOL,3337,35212150,871
680,CECIL B STIRLING PUBLIC SCHOOL,5057,35250615,300
E0159,KETTLE LAKES PUBLIC SCHOOL,2222,35191363,564
S828,CEDAR CREEK PUBLIC SCHOOL,7001,35300804,463
1533,CEDAR DRIVE JUNIOR PUBLIC SCHOOL,552,35204329,729
417,WILMINGTON ELEMENTARY SCHOOL,428,35204194,258
S725,CEDARBRAE PUBLIC SCHOOL,7001,35300043,244
1535,CEDARBROOK JUNIOR PUBLIC SCHOOL,517,35203297,495
S840,CEDARLAND ELEMENTARY,8901,35290010,282
2069,CEDARVALE COMMUNITY SCHOOL,174,35202254,396
74,CEDARWOOD PUBLIC SCHOOL,2449,35190700,729
S790,CENTENNIAL-GRAND WOODLANDS ELEMENTARY,8901,35290020,227
45,BENNETTO ELEMENTARY SCHOOL,5208,35250488,491
6202,CENTENNIAL MIDDLE SCHOOL,4161,35240840,439
S647,CENTENNIAL PUBLIC SCHOOL - CAMBRIDGE,7237,35300547,229
S676,CENTENNIAL PUBLIC SCHOOL - WATERLOO,7001,35300035,457
S643,CENTENNIAL HYLANDS ELEMENTARY SCHOOL,8411,35220074,453
2454,CENTENNIAL ROAD JUNIOR SCHOOL,570,35203722,265
S672,CENTRAL ELEMENTARY - BRANTFORD,8901,35290152,151
S699,CENTRAL PUBLIC SCHOOL - CAMBRIDGE,7237,35300682,268
7230,CENTRAL JUNIOR PUBLIC SCHOOL,5171,35250421,265
E0418,VIMY RIDGE PUBLIC SCHOOL,1060,35181069,602
8443,CENTRAL PUBLIC SCHOOL - GUELPH,8001,35230090,200
3278,WALTER E HARRIS PUBLIC SCHOOL,1200,35180798,565
6113,CENTRAL PUBLIC SCHOOL - BURLINGTON,4059,35240444,344
3041,CARTWRIGHT CENTRAL PUBLIC SCHOOL,1309,35180068,330
7282,LAWFIELD PUBLIC SCHOOL,5082,35250596,726
79,CHEYNE MIDDLE SCHOOL,3436,35212068,857
8072,CENTRAL PUBLIC SCHOOL - GRIMSBY,6001,35260321,511
S757,HESPELER PUBLIC SCHOOL,7237,35300527,635
5734,PRESTON PUBLIC SCHOOL,7237,35300482,233
3053,THORAH CENTRAL PUBLIC SCHOOL,,35180848,144
E0216,COPELAND PUBLIC SCHOOL,3484,35212168,582
A395,GLENBROOK ELEMENTARY SCHOOL,,35220070,464
5428,CASHMERE AVENUE PUBLIC SCHOOL,3656,35210833,414
67,CARRUTHERS CREEK PUBLIC SCHOOL,1097,35181230,750
3063,CENTRAL PUBLIC SCHOOL - BOWMANVILLE,1260,35180712,162
S718,ONONDAGA - BRANT ELEMENTARY,8901,35290263,209
S858,PARIS CENTRAL ELEMENTARY,8901,35290305,166
8873,CENTRAL SENIOR PUBLIC SCHOOL,8705,35160128,237
3252,LAKEWOODS PUBLIC SCHOOL,1222,35180626,333
1260,CHALKFARM PUBLIC SCHOOL,407,35204111,215
S773,CHALMERS STREET PUBLIC SCHOOL,7237,35300619,428
2076,CHARLES E WEBSTER JUNIOR PUBLIC SCHOOL,151,35201213,432
2077,CHARLES G FRASER JUNIOR PUBLIC SCHOOL,91,35200883,235
1538,CHARLES GORDON SENIOR PUBLIC SCHOOL,522,35203411,378
4309,CHARLES HOWITT PUBLIC SCHOOL,2203,35190860,466
37,ARTESIAN DRIVE PUBLIC SCHOOL,3636,35211952,692
2503,CHARLOTTETOWN PUBLIC SCHOOL,570,35203725,435
1014,CHARTLAND JUNIOR PUBLIC SCHOOL,602,35200087,215
7231,CHEDOKE PUBLIC SCHOOL,5140,35250107,561
8902,CHEMONG PUBLIC SCHOOL,8851,35150250,442
1263,CHEROKEE PUBLIC SCHOOL,477,35200183,177
8106,CHERRYWOOD ACRES PUBLIC SCHOOL,6042,35260053,235
2078,CHESTER PUBLIC SCHOOL,282,35203858,419
1015,CHESTER LE JUNIOR PUBLIC SCHOOL,588,35203916,151
1540,CHINE DRIVE PUBLIC SCHOOL,546,35203788,156
2080,CHURCH STREET JUNIOR PUBLIC SCHOOL,39,35204584,396
399,RUTH THOMPSON MIDDLE SCHOOL,3810,35212057,746
A088,WALNUT GROVE PUBLIC SCHOOL,3516,35212152,949
1264,CHURCHILL PUBLIC SCHOOL,438,35204319,406
1541,CHURCHILL HEIGHTS PUBLIC SCHOOL,496,35203607,409
88,CHURCHILL MEADOWS PUBLIC SCHOOL,3809,35211856,786
211,CITY VIEW ALTERNATIVE SENIOR SCHOOL,108,35200938,61
1424,CLAIREVILLE JUNIOR SCHOOL - ETOBICOKE,380,35203035,337
1542,CLAIRLEA PUBLIC SCHOOL,528,35203528,621
5124,CLARK BOULEVARD PUBLIC SCHOOL,3356,35210131,592
S767,CLEMENS MILLS PUBLIC SCHOOL,7237,35300517,661
8924,ORONO PUBLIC SCHOOL,1260,35180713,131
E0374,MOFFAT CREEK PUBLIC SCHOOL,7237,35300694,685
C372,PINES SENIOR PUBLIC SCHOOL,1280,35180951,193
6115,CLARKSDALE PUBLIC SCHOOL,4086,35240331,461
5435,CLARKSON PUBLIC SCHOOL,3640,35210417,120
4236,CLEARMEADOW PUBLIC SCHOOL,2603,35191134,669
91,CLEARVIEWS MEADOWS ELEMENTARY SCHOOL,8555,35430866,272
497,HAWTHORNE VILLAGE PUBLIC SCHOOL,4110,35240888,1137
1543,CLIFFSIDE PUBLIC SCHOOL,543,35203794,114
1266,CLIFFWOOD PUBLIC SCHOOL,471,35202481,475
5437,CLIFTON PUBLIC SCHOOL,3659,35210776,332
A106,ANNE FRANK PUBLIC SCHOOL,2133,35191290,586
2083,CLINTON STREET PUBLIC SCHOOL,93,35200914,412
8510,CODRINGTON PUBLIC SCHOOL,8501,35431113,309
426,GATESTONE ELEMENTARY PUBLIC SCHOOL,5032,35251013,607
4508,CHARLTON PUBLIC SCHOOL,2122,35190349,265
8671,COLDWATER PUBLIC SCHOOL,8555,35430624,283
3505,COLONEL J E FAREWELL PUBLIC SCHOOL,1128,35181104,443
2124,ECOLE ELEMENTAIRE COLLEGE FRANCAIS,39,35204585,109
3211,COLLEGE HILL PUBLIC SCHOOL,1213,35180173,243
8211,COLLEGE STREET PUBLIC SCHOOL,6032,35260774,183
7502,COLLEGIATE AVENUE PUBLIC SCHOOL,5093,35250278,276
A045,VISTA HILLS PUBLIC SCHOOL,7001,35300932,0
E0021,HEWSON PUBLIC SCHOOL,3385,35212142,706
A104,BECKETT FARM PUBLIC SCHOOL,2418,35191200,579
E0068,ESCARPMENT VIEW ELEMENTARY SCHOOL,4127,35240928,1093
8243,CONNAUGHT PUBLIC SCHOOL - ST CATHARINES,6042,35260506,225
8499,PINE RIVER PUBLIC SCHOOL,8551,35430728,242
S625,COOKSVILLE CREEK PUBLIC SCHOOL,3689,35211034,431
4128,COPPARD GLEN PUBLIC SCHOOL,2427,35191086,573
2089,CORDELLA JUNIOR PUBLIC SCHOOL,143,35201389,143
5440,CORLISS PUBLIC SCHOOL,3629,35211070,258
1545,CORNELL JUNIOR PUBLIC SCHOOL,515,35203346,812
96,CORNELL VILLAGE PUBLIC SCHOOL,2454,35191292,572
3213,CORONATION PUBLIC SCHOOL - OSHAWA,1201,35180118,458
S870,CORONATION PUBLIC SCHOOL - CAMBRIDGE,7237,35300489,415
3251,KEDRON PUBLIC SCHOOL,1181,35181129,436
8740,JAMES KEATING ELEMENTARY SCHOOL,8555,35430561,278
5442,CORSAIR PUBLIC SCHOOL,3653,35210803,776
A022,BOYNE PUBLIC SCHOOL,4105,35240929,513
109,DR G J MACGILLIVRAY PUBLIC SCHOOL,1241,35180665,762
1546,CORVETTE JUNIOR PUBLIC SCHOOL,531,35203451,513
2091,COSBURN MIDDLE SCHOOL,262,35200563,625
2092,COTTINGHAM JUNIOR PUBLIC SCHOOL,203,35202811,142
8774,COUCHICHING HEIGHTS PUBLIC SCHOOL,8681,35431219,316
1547,COURCELETTE PUBLIC SCHOOL,540,35203242,317
S713,COUNTRY HILLS PUBLIC SCHOOL,7001,35300171,335
S653,COURTLAND AVENUE PUBLIC SCHOOL,7001,35300376,210
E0580,EQUINOX HOLISTIC ALTERNATIVE SCHOOL,265,35200688,193
5321,CREDIT VIEW PUBLIC SCHOOL,3196,35210017,92
5443,CREDIT VALLEY PUBLIC SCHOOL,3683,35211476,637
1121,CRESCENT TOWN PUBLIC SCHOOL,249,35204765,623
1269,CRESTHAVEN PUBLIC SCHOOL,470,35202459,202
S690,CRESTVIEW PUBLIC SCHOOL - KITCHENER,7001,35300450,365
1270,CRESTVIEW PUBLIC SCHOOL - NORTH YORK,478,35200298,408
2602,C R MARCHANT MIDDLE SCHOOL,134,35204421,378
4210,CROSSLAND PUBLIC SCHOOL,2603,35190114,370
C138,CROSBY HEIGHTS PUBLIC SCHOOL,2242,35190531,633
8031,CRYSTAL BEACH PUBLIC SCHOOL,6042,35260685,102
1332,LESTER B PEARSON ELEMENTARY SCHOOL,461,35202446,508
8512,CUNDLES HEIGHTS PUBLIC SCHOOL,8501,35431086,323
99,DALEWOOD PUBLIC SCHOOL - ST CATHARINES,6042,35260544,404
7235,DALEWOOD SENIOR PUBLIC SCHOOL - HAMILTON,5196,35250672,287
1272,DALLINGTON PUBLIC SCHOOL,467,35200289,593
1548,DANFORTH GARDENS PUBLIC SCHOOL,536,35203529,511
5445,DARCEL AVENUE SENIOR PUBLIC SCHOOL,3629,35211069,449
102,DAVID LEEDER MIDDLE SCHOOL,3619,35211730,837
E0203,EDNA STAEBLER PUBLIC SCHOOL (WATERLOO),7001,35300822,907
1144,DAVID HORNELL JUNIOR SCHOOL,287,35204694,246
1016,DAVID LEWIS PUBLIC SCHOOL,591,35203929,455
E0194,SIR WILFRID LAURIER PUBLIC SCHOOL,2380,35191211,720
2102,DAVISVILLE JUNIOR PUBLIC SCHOOL,209,35204465,510
S280,W ROSS MACDONALD SCHOOL FOR THE BLIND,8901,35290051,0
1273,DAYSTROM PUBLIC SCHOOL,403,35201893,452
2103,DEER PARK JUNIOR & SENIOR PUBLIC SCHOOL,204,35204503,526
4211,DENNE PUBLIC SCHOOL,2610,35190908,300
4313,DONCREST PUBLIC SCHOOL,2252,35190551,693
3113,DR EMILY STOWE ELEMENTARY SCHOOL,1241,35180656,339
1276,DENLOW PUBLIC SCHOOL,237,35202761,409
2106,DENNIS AVENUE COMMUNITY SCHOOL,142,35204450,135
2105,DELTA ALTERNATIVE SENIOR PUBLIC SCHOOL,96,35200917,61
E0052,JAMES W HILL PUBLIC SCHOOL,4023,35240160,553
1277,DERRYDOWN PUBLIC SCHOOL,396,35202004,474
4005,DEVINS DRIVE PUBLIC SCHOOL,2555,35190998,377
8172,DEWITT CARTER PUBLIC SCHOOL,6257,35260667,249
2107,DEWSON STREET JUNIOR PUBLIC SCHOOL,102,35200922,524
8107,DIAMOND JUBILEE PUBLIC SCHOOL,6042,35260639,122
105,DISCOVERY PUBLIC SCHOOL,2078,35191302,588
5448,DIXIE PUBLIC SCHOOL,3669,35211506,316
1130,DIXON GROVE ELEMENTARY SCHOOL,347,35201719,669
5449,DOLPHIN SENIOR PUBLIC SCHOOL,3715,35210609,494
1279,DON MILLS MIDDLE SCHOOL,241,35204855,366
1282,DONVIEW MIDDLE SCHOOL,233,35200407,377
1554,DONWOOD PARK JUNIOR PUBLIC SCHOOL,510,35203404,725
1555,DORSET PARK JUNIOR PUBLIC SCHOOL,502,35203542,203
5051,DORSET DRIVE PUBLIC SCHOOL,3506,35210106,476
S809,DRIFTWOOD PARK PUBLIC SCHOOL,7001,35300249,393
2110,DOVERCOURT PUBLIC SCHOOL,104,35200999,390
126,KORTRIGHT HILLS PUBLIC SCHOOL,8001,35230202,461
1283,DOWNSVIEW PUBLIC SCHOOL,414,35202168,189
A161,BEN HEPPNER VOCAL MUSIC ACADEMY,,35203361,69
108,DR C F CANNON PUBLIC SCHOOL,1220,35180618,415
S516,DR CHARLES BEST PUBLIC SCHOOL,4083,35240329,268
305,DR JOHN SEATON & SHEFFIELD UNIT ELEMENTARY SCHOOL,5216,35250932,214
8900,DR GEORGE HALL PUBLIC SCHOOL,8705,35160152,323
1017,DR MARION HILLIARD SENIOR PUBLIC SCHOOL,613,35200052,301
3064,DR ROSS TILLEY PUBLIC SCHOOL,1254,35180996,476
